Social- og Indenrigsministeriets Kommunale N(ø)gletal;;;;;;;;
;;;;;;;;
;Kom.nr;2013;2014;2015;2016;2017;2018;2019
;;;;;;;;
Indbyggertal 1. januar;;;;;;;;
Københavns Kommune;101;559.440;569.557;580.184;591.481;602.481;613.288;623.404
Frederiksberg Kommune;147;102.029;102.717;103.192;104.481;105.037;104.410;103.960
Ballerup Kommune;151;48.211;48.514;48.355;48.224;48.231;48.295;48.458
Brøndby Kommune;153;34.210;34.580;35.050;35.322;35.594;35.538;35.397
Dragør Kommune;155;13.917;13.977;14.028;14.142;14.288;14.272;14.270
Gentofte Kommune;157;73.360;74.282;74.932;75.350;75.805;75.803;75.176
Gladsaxe Kommune;159;66.030;66.656;67.347;67.914;68.775;69.484;69.681
Glostrup Kommune;161;21.869;22.066;22.357;22.461;22.528;22.663;22.615
Herlev Kommune;163;26.958;27.706;28.148;28.423;28.406;28.572;28.786
Albertslund Kommune;165;27.824;27.728;27.806;27.880;27.896;27.743;27.877
Hvidovre Kommune;167;51.341;51.842;52.380;52.831;52.964;53.282;53.416
Høje-Taastrup Kommune;169;48.471;48.807;49.230;49.960;50.246;50.596;50.686
Lyngby-Taarbæk Kommune;173;53.840;54.237;54.778;55.097;55.240;55.472;55.790
Rødovre Kommune;175;37.351;37.552;37.743;38.002;38.492;39.343;40.052
Ishøj Kommune;183;21.131;21.547;22.025;22.358;22.719;22.988;22.946
Tårnby Kommune;185;41.572;41.992;42.573;42.860;43.010;43.063;42.984
Vallensbæk Kommune;187;14.797;15.095;15.204;15.419;15.705;16.280;16.654
Furesø Kommune;190;38.236;38.492;39.077;40.156;40.613;40.911;41.069
Allerød Kommune;201;24.073;24.175;24.411;24.732;24.942;25.235;25.646
Fredensborg Kommune;210;39.462;39.585;39.772;40.112;40.504;40.779;40.819
Helsingør Kommune;217;61.613;61.519;61.632;62.092;62.443;62.686;62.567
Hillerød Kommune;219;48.315;48.695;49.108;49.672;50.109;50.650;50.998
Hørsholm Kommune;223;24.543;24.709;24.856;24.965;24.977;25.028;25.007
Rudersdal Kommune;230;54.827;55.034;55.441;55.739;56.133;55.989;56.509
Egedal Kommune;240;42.018;42.210;42.573;42.773;43.082;43.000;43.335
Frederikssund Kommune;250;44.365;44.401;44.413;44.725;45.036;45.189;45.332
Halsnæs Kommune;260;30.803;30.647;30.736;31.049;31.162;31.168;31.271
Gribskov Kommune;270;40.655;40.778;40.855;41.107;41.213;41.217;41.195
Bornholms Kommune;400;40.715;40.215;39.828;39.756;39.695;39.632;39.572
Greve Kommune;253;47.980;48.095;48.835;49.518;49.921;49.974;50.267
Køge Kommune;259;57.771;58.374;59.285;59.868;60.109;60.356;60.675
Roskilde Kommune;265;83.554;84.219;85.026;86.207;87.015;87.382;87.577
Solrød Kommune;269;21.145;21.339;21.552;21.788;22.147;22.518;23.065
Odsherred Kommune;306;32.452;32.534;32.665;32.816;33.023;33.083;33.122
Holbæk Kommune;316;69.263;69.016;69.035;69.972;70.950;70.983;71.297
Faxe Kommune;320;35.123;35.119;35.195;35.614;35.916;36.139;36.513
Kalundborg Kommune;326;48.294;48.358;48.469;48.660;48.736;48.982;48.681
Ringsted Kommune;329;33.217;33.349;33.573;34.031;34.259;34.473;34.725
Slagelse Kommune;330;77.167;76.948;77.293;78.140;78.828;78.968;79.073
Stevns Kommune;336;21.818;21.825;22.038;22.260;22.492;22.727;22.782
Sorø Kommune;340;29.288;29.299;29.331;29.543;29.595;29.669;29.834
Lejre Kommune;350;26.901;26.989;27.172;27.317;27.402;27.544;27.775
Lolland Kommune;360;44.436;43.528;43.024;42.638;42.285;41.982;41.615
Næstved Kommune;370;81.163;81.432;81.687;82.342;82.581;82.938;82.991
Guldborgsund Kommune;376;61.322;61.007;60.829;60.979;61.257;61.219;60.930
Vordingborg Kommune;390;45.465;45.295;45.471;45.806;46.037;46.087;45.816
Middelfart Kommune;410;37.523;37.685;37.857;37.913;38.093;38.210;38.553
Assens Kommune;420;41.325;41.037;41.046;41.224;41.390;41.328;41.212
Faaborg-Midtfyn Kommune;430;51.409;51.078;50.953;51.236;51.376;51.536;51.809
Kerteminde Kommune;440;23.787;23.665;23.728;23.880;23.774;23.756;23.773
Nyborg Kommune;450;31.350;31.314;31.573;31.886;32.142;32.032;32.042
Odense Kommune;461;193.370;195.797;197.480;198.972;200.563;202.348;204.182
Svendborg Kommune;479;58.296;57.979;57.988;58.228;58.510;58.698;58.599
Nordfyns Kommune;480;29.224;29.066;29.030;29.298;29.446;29.516;29.693
Langeland Kommune;482;12.861;12.695;12.647;12.547;12.578;12.641;12.560
Ærø Kommune;492;6.527;6.393;6.276;6.290;6.177;6.178;6.058
Haderslev Kommune;510;56.051;55.906;55.888;56.029;56.045;55.963;55.857
Billund Kommune;530;26.357;26.318;26.285;26.434;26.481;26.482;26.629
Sønderborg Kommune;540;75.732;75.264;74.937;74.737;74.801;74.650;74.561
Tønder Kommune;550;38.686;38.316;38.010;37.904;37.928;37.777;37.587
Esbjerg Kommune;561;115.051;115.095;115.446;115.748;115.905;116.032;115.652
Fanø Kommune;563;3.237;3.264;3.263;3.290;3.345;3.401;3.404
Varde Kommune;573;49.969;49.958;50.122;50.289;50.452;50.301;50.129
Vejen Kommune;575;42.700;42.667;42.601;42.869;42.822;42.844;42.863
Aabenraa Kommune;580;59.208;58.970;58.904;58.869;59.003;59.089;59.035
Fredericia Kommune;607;50.374;50.324;50.429;50.689;50.868;51.326;51.427
Kolding Kommune;621;89.556;90.066;90.794;91.695;92.282;92.515;92.893
Vejle Kommune;630;108.826;109.652;110.471;111.743;113.243;114.140;114.830
Horsens Kommune;615;84.871;85.662;86.361;87.736;89.030;89.598;90.370
Herning Kommune;657;86.595;86.842;86.864;87.593;88.386;88.733;88.917
Holstebro Kommune;661;57.254;57.338;57.494;57.661;58.125;58.418;58.504
Lemvig Kommune;665;21.223;20.933;20.657;20.399;20.291;20.133;19.998
Struer Kommune;671;21.846;21.533;21.439;21.474;21.347;21.270;21.143
Syddjurs Kommune;706;41.894;41.719;41.652;41.889;42.021;42.468;42.768
Norddjurs Kommune;707;38.035;37.925;37.898;38.144;38.099;38.197;37.680
Favrskov Kommune;710;47.156;47.163;47.523;47.655;47.915;48.271;48.374
Odder Kommune;727;21.800;21.773;21.928;22.131;22.331;22.626;22.675
Randers Kommune;730;96.007;96.343;96.800;97.520;98.118;98.265;97.909
Silkeborg Kommune;740;89.346;89.633;90.016;90.719;91.237;92.024;93.054
Samsø Kommune;741;3.806;3.767;3.733;3.710;3.724;3.720;3.684
Skanderborg Kommune;746;58.094;58.176;58.782;59.481;60.401;61.158;61.974
Aarhus Kommune;751;319.094;323.893;326.246;330.639;335.684;340.421;345.332
Ikast-Brande Kommune;756;40.468;40.602;40.598;40.798;40.981;41.191;41.282
Ringkøbing-Skjern Kommune;760;57.529;57.093;57.042;57.139;57.022;57.005;56.930
Hedensted Kommune;766;45.868;45.715;46.091;46.206;46.524;46.616;46.747
Skive Kommune;779;47.291;46.942;46.641;46.639;46.540;46.599;46.224
Viborg Kommune;791;94.333;94.486;94.985;95.776;96.477;96.883;97.113
Morsø Kommune;773;21.189;21.003;20.816;20.629;20.665;20.514;20.403
Thisted Kommune;787;44.494;44.230;44.078;43.991;43.826;43.716;43.660
Brønderslev Kommune;810;35.600;35.627;35.781;36.047;36.128;36.289;36.370
Frederikshavn Kommune;813;60.775;60.458;60.377;60.246;60.356;60.140;59.987
Vesthimmerlands Kommune;820;37.586;37.479;37.399;37.296;37.285;37.277;37.121
Læsø Kommune;825;1.839;1.808;1.795;1.817;1.793;1.807;1.806
Rebild Kommune;840;28.866;28.794;28.859;29.149;29.391;29.827;29.916
Mariagerfjord Kommune;846;42.111;42.093;42.134;42.131;42.066;42.125;42.055
Jammerbugt Kommune;849;38.597;38.351;38.293;38.466;38.581;38.638;38.460
